"gwcode","fid","start","end","heg_main_match","rowmin","rowmax","colmin","colmax","filename"
230,10,1855,2020,"occitan [org]",399,492,183,346,"230_1855_2020_occitan_[org].tif"
230,10,1855,2020,"portuguese [org]",399,492,183,346,"230_1855_2020_portuguese_[org].tif"
235,11,1855,2020,"portuguese [org]",419,533,87,220,"235_1855_2020_portuguese_[org].tif"
235,11,1855,2020,"galician [org]",419,533,87,220,"235_1855_2020_galician_[org].tif"
235,11,1855,2020,"spanish [org]",419,533,87,220,"235_1855_2020_spanish_[org].tif"
255,12,1855,1919,"german [l5]",259,357,364,569,"255_1855_1919_german_[l5].tif"
255,12,1855,1919,"danish [l7]",259,357,364,569,"255_1855_1919_danish_[l7].tif"
255,12,1855,1919,"dutch [org]",259,357,364,569,"255_1855_1919_dutch_[org].tif"
255,12,1855,1919,"frisian [l4]",259,357,364,569,"255_1855_1919_frisian_[l4].tif"
255,12,1855,1919,"czech [org]",259,357,364,569,"255_1855_1919_czech_[org].tif"
255,12,1855,1919,"french [org]",259,357,364,569,"255_1855_1919_french_[org].tif"
255,12,1855,1919,"polish [org]",259,357,364,569,"255_1855_1919_polish_[org].tif"
255,12,1855,1919,"kashubian [org]",259,357,364,569,"255_1855_1919_kashubian_[org].tif"
255,12,1855,1919,"sorbian [l4]",259,357,364,569,"255_1855_1919_sorbian_[l4].tif"
255,12,1855,1919,"jewish",259,357,364,569,"255_1855_1919_jewish.tif"
255,12,1855,1919,"russian [org]",259,357,364,569,"255_1855_1919_russian_[org].tif"
255,12,1855,1919,"tatar [org]",259,357,364,569,"255_1855_1919_tatar_[org].tif"
255,12,1855,1919,"belarusan [org]",259,357,364,569,"255_1855_1919_belarusan_[org].tif"
255,12,1855,1919,"lithuanian [org]",259,357,364,569,"255_1855_1919_lithuanian_[org].tif"
255,13,1920,1920,"german [l5]",259,357,365,569,"255_1920_1920_german_[l5].tif"
255,13,1920,1920,"danish [l7]",259,357,365,569,"255_1920_1920_danish_[l7].tif"
255,13,1920,1920,"dutch [org]",259,357,365,569,"255_1920_1920_dutch_[org].tif"
255,13,1920,1920,"frisian [l4]",259,357,365,569,"255_1920_1920_frisian_[l4].tif"
255,13,1920,1920,"czech [org]",259,357,365,569,"255_1920_1920_czech_[org].tif"
255,13,1920,1920,"french [org]",259,357,365,569,"255_1920_1920_french_[org].tif"
255,13,1920,1920,"polish [org]",259,357,365,569,"255_1920_1920_polish_[org].tif"
255,13,1920,1920,"kashubian [org]",259,357,365,569,"255_1920_1920_kashubian_[org].tif"
255,13,1920,1920,"sorbian [l4]",259,357,365,569,"255_1920_1920_sorbian_[l4].tif"
255,13,1920,1920,"jewish",259,357,365,569,"255_1920_1920_jewish.tif"
255,13,1920,1920,"russian [org]",259,357,365,569,"255_1920_1920_russian_[org].tif"
255,13,1920,1920,"belarusan [org]",259,357,365,569,"255_1920_1920_belarusan_[org].tif"
255,13,1920,1920,"lithuanian [org]",259,357,365,569,"255_1920_1920_lithuanian_[org].tif"
255,14,1921,1938,"german [l5]",261,357,365,569,"255_1921_1938_german_[l5].tif"
255,14,1921,1938,"danish [l7]",261,357,365,569,"255_1921_1938_danish_[l7].tif"
255,14,1921,1938,"dutch [org]",261,357,365,569,"255_1921_1938_dutch_[org].tif"
255,14,1921,1938,"frisian [l4]",261,357,365,569,"255_1921_1938_frisian_[l4].tif"
255,14,1921,1938,"czech [org]",261,357,365,569,"255_1921_1938_czech_[org].tif"
255,14,1921,1938,"french [org]",261,357,365,569,"255_1921_1938_french_[org].tif"
255,14,1921,1938,"polish [org]",261,357,365,569,"255_1921_1938_polish_[org].tif"
255,14,1921,1938,"kashubian [org]",261,357,365,569,"255_1921_1938_kashubian_[org].tif"
255,14,1921,1938,"sorbian [l4]",261,357,365,569,"255_1921_1938_sorbian_[l4].tif"
255,14,1921,1938,"jewish",261,357,365,569,"255_1921_1938_jewish.tif"
255,14,1921,1938,"russian [org]",261,357,365,569,"255_1921_1938_russian_[org].tif"
255,14,1921,1938,"belarusan [org]",261,357,365,569,"255_1921_1938_belarusan_[org].tif"
255,14,1921,1938,"lithuanian [org]",261,357,365,569,"255_1921_1938_lithuanian_[org].tif"
255,15,1939,1939,"german [l5]",261,357,365,569,"255_1939_1939_german_[l5].tif"
255,15,1939,1939,"czech [org]",261,357,365,569,"255_1939_1939_czech_[org].tif"
255,15,1939,1939,"polish [org]",261,357,365,569,"255_1939_1939_polish_[org].tif"
255,15,1939,1939,"sorbian [l4]",261,357,365,569,"255_1939_1939_sorbian_[l4].tif"
255,15,1939,1939,"danish [l7]",261,357,365,569,"255_1939_1939_danish_[l7].tif"
255,15,1939,1939,"dutch [org]",261,357,365,569,"255_1939_1939_dutch_[org].tif"
255,15,1939,1939,"frisian [l4]",261,357,365,569,"255_1939_1939_frisian_[l4].tif"
255,15,1939,1939,"french [org]",261,357,365,569,"255_1939_1939_french_[org].tif"
255,15,1939,1939,"kashubian [org]",261,357,365,569,"255_1939_1939_kashubian_[org].tif"
255,15,1939,1939,"jewish",261,357,365,569,"255_1939_1939_jewish.tif"
255,15,1939,1939,"russian [org]",261,357,365,569,"255_1939_1939_russian_[org].tif"
255,15,1939,1939,"belarusan [org]",261,357,365,569,"255_1939_1939_belarusan_[org].tif"
255,15,1939,1939,"lithuanian [org]",261,357,365,569,"255_1939_1939_lithuanian_[org].tif"
255,15,1940,1945,"german [l5]",261,357,365,569,"255_1940_1945_german_[l5].tif"
255,15,1940,1945,"czech [org]",261,357,365,569,"255_1940_1945_czech_[org].tif"
255,15,1940,1945,"polish [org]",261,357,365,569,"255_1940_1945_polish_[org].tif"
255,15,1940,1945,"sorbian [l4]",261,357,365,569,"255_1940_1945_sorbian_[l4].tif"
255,15,1940,1945,"danish [l7]",261,357,365,569,"255_1940_1945_danish_[l7].tif"
255,15,1940,1945,"dutch [org]",261,357,365,569,"255_1940_1945_dutch_[org].tif"
255,15,1940,1945,"frisian [l4]",261,357,365,569,"255_1940_1945_frisian_[l4].tif"
255,15,1940,1945,"french [org]",261,357,365,569,"255_1940_1945_french_[org].tif"
255,15,1940,1945,"kashubian [org]",261,357,365,569,"255_1940_1945_kashubian_[org].tif"
255,15,1940,1945,"jewish",261,357,365,569,"255_1940_1945_jewish.tif"
255,15,1940,1945,"russian [org]",261,357,365,569,"255_1940_1945_russian_[org].tif"
255,15,1940,1945,"belarusan [org]",261,357,365,569,"255_1940_1945_belarusan_[org].tif"
255,15,1940,1945,"lithuanian [org]",261,357,365,569,"255_1940_1945_lithuanian_[org].tif"
260,16,1991,2020,"german [l5]",264,357,365,475,"260_1991_2020_german_[l5].tif"
260,16,1991,2020,"danish [l7]",264,357,365,475,"260_1991_2020_danish_[l7].tif"
260,16,1991,2020,"dutch [org]",264,357,365,475,"260_1991_2020_dutch_[org].tif"
260,16,1991,2020,"frisian [l4]",264,357,365,475,"260_1991_2020_frisian_[l4].tif"
260,16,1991,2020,"czech [org]",264,357,365,475,"260_1991_2020_czech_[org].tif"
260,16,1991,2020,"french [org]",264,357,365,475,"260_1991_2020_french_[org].tif"
260,16,1991,2020,"sorbian [l4]",264,357,365,475,"260_1991_2020_sorbian_[l4].tif"
260,16,1991,2020,"polish [org]",264,357,365,475,"260_1991_2020_polish_[org].tif"
260,17,1950,1990,"german [l5]",264,357,365,461,"260_1950_1990_german_[l5].tif"
260,17,1950,1990,"danish [l7]",264,357,365,461,"260_1950_1990_danish_[l7].tif"
260,17,1950,1990,"dutch [org]",264,357,365,461,"260_1950_1990_dutch_[org].tif"
260,17,1950,1990,"frisian [l4]",264,357,365,461,"260_1950_1990_frisian_[l4].tif"
260,17,1950,1990,"czech [org]",264,357,365,461,"260_1950_1990_czech_[org].tif"
260,17,1950,1990,"french [org]",264,357,365,461,"260_1950_1990_french_[org].tif"
260,18,1946,1949,"german [l5]",264,357,365,461,"260_1946_1949_german_[l5].tif"
260,18,1946,1949,"danish [l7]",264,357,365,461,"260_1946_1949_danish_[l7].tif"
260,18,1946,1949,"dutch [org]",264,357,365,461,"260_1946_1949_dutch_[org].tif"
260,18,1946,1949,"frisian [l4]",264,357,365,461,"260_1946_1949_frisian_[l4].tif"
260,18,1946,1949,"czech [org]",264,357,365,461,"260_1946_1949_czech_[org].tif"
260,18,1946,1949,"french [org]",264,357,365,461,"260_1946_1949_french_[org].tif"
265,19,1950,1990,"german [l5]",268,322,416,475,"265_1950_1990_german_[l5].tif"
265,19,1950,1990,"sorbian [l4]",268,322,416,475,"265_1950_1990_sorbian_[l4].tif"
265,19,1950,1990,"czech [org]",268,322,416,475,"265_1950_1990_czech_[org].tif"
265,19,1950,1990,"polish [org]",268,322,416,475,"265_1950_1990_polish_[org].tif"
265,20,1946,1949,"german [l5]",268,322,416,475,"265_1946_1949_german_[l5].tif"
265,20,1946,1949,"sorbian [l4]",268,322,416,475,"265_1946_1949_sorbian_[l4].tif"
265,20,1946,1949,"czech [org]",268,322,416,475,"265_1946_1949_czech_[org].tif"
265,20,1946,1949,"polish [org]",268,322,416,475,"265_1946_1949_polish_[org].tif"
290,21,1919,1919,"german [l5]",272,324,506,584,"290_1919_1919_german_[l5].tif"
290,21,1919,1919,"polish [org]",272,324,506,584,"290_1919_1919_polish_[org].tif"
290,21,1919,1919,"ukrainian [org]",272,324,506,584,"290_1919_1919_ukrainian_[org].tif"
290,21,1919,1919,"belarusan [org]",272,324,506,584,"290_1919_1919_belarusan_[org].tif"
290,21,1919,1919,"lithuanian [org]",272,324,506,584,"290_1919_1919_lithuanian_[org].tif"
290,21,1919,1919,"rusyn [org]",272,324,506,584,"290_1919_1919_rusyn_[org].tif"
290,21,1919,1919,"russian [org]",272,324,506,584,"290_1919_1919_russian_[org].tif"
290,21,1919,1919,"bulgarian [org]",272,324,506,584,"290_1919_1919_bulgarian_[org].tif"
290,21,1919,1919,"tatar [org]",272,324,506,584,"290_1919_1919_tatar_[org].tif"
290,21,1919,1919,"jewish",272,324,506,584,"290_1919_1919_jewish.tif"
290,23,1920,1920,"german [l5]",266,350,484,611,"290_1920_1920_german_[l5].tif"
290,23,1920,1920,"polish [org]",266,350,484,611,"290_1920_1920_polish_[org].tif"
290,23,1920,1920,"ukrainian [org]",266,350,484,611,"290_1920_1920_ukrainian_[org].tif"
290,23,1920,1920,"rusyn [org]",266,350,484,611,"290_1920_1920_rusyn_[org].tif"
290,23,1920,1920,"russian [org]",266,350,484,611,"290_1920_1920_russian_[org].tif"
290,23,1920,1920,"romanian [org]",266,350,484,611,"290_1920_1920_romanian_[org].tif"
290,23,1920,1920,"armenian [l2]",266,350,484,611,"290_1920_1920_armenian_[l2].tif"
290,23,1920,1920,"jewish",266,350,484,611,"290_1920_1920_jewish.tif"
290,23,1920,1920,"belarusan [org]",266,350,484,611,"290_1920_1920_belarusan_[org].tif"
290,23,1920,1920,"kashubian [org]",266,350,484,611,"290_1920_1920_kashubian_[org].tif"
290,23,1920,1920,"czech [org]",266,350,484,611,"290_1920_1920_czech_[org].tif"
290,23,1920,1920,"lithuanian [org]",266,350,484,611,"290_1920_1920_lithuanian_[org].tif"
290,23,1920,1920,"bulgarian [org]",266,350,484,611,"290_1920_1920_bulgarian_[org].tif"
290,23,1920,1920,"tatar [org]",266,350,484,611,"290_1920_1920_tatar_[org].tif"
290,23,1920,1920,"slovak [org]",266,350,484,611,"290_1920_1920_slovak_[org].tif"
290,24,1921,1921,"german [l5]",255,350,484,626,"290_1921_1921_german_[l5].tif"
290,24,1921,1921,"polish [org]",255,350,484,626,"290_1921_1921_polish_[org].tif"
290,24,1921,1921,"ukrainian [org]",255,350,484,626,"290_1921_1921_ukrainian_[org].tif"
290,24,1921,1921,"rusyn [org]",255,350,484,626,"290_1921_1921_rusyn_[org].tif"
290,24,1921,1921,"russian [org]",255,350,484,626,"290_1921_1921_russian_[org].tif"
290,24,1921,1921,"romanian [org]",255,350,484,626,"290_1921_1921_romanian_[org].tif"
290,24,1921,1921,"armenian [l2]",255,350,484,626,"290_1921_1921_armenian_[l2].tif"
290,24,1921,1921,"jewish",255,350,484,626,"290_1921_1921_jewish.tif"
290,24,1921,1921,"belarusan [org]",255,350,484,626,"290_1921_1921_belarusan_[org].tif"
290,24,1921,1921,"kashubian [org]",255,350,484,626,"290_1921_1921_kashubian_[org].tif"
290,24,1921,1921,"czech [org]",255,350,484,626,"290_1921_1921_czech_[org].tif"
290,24,1921,1921,"lithuanian [org]",255,350,484,626,"290_1921_1921_lithuanian_[org].tif"
290,24,1921,1921,"bulgarian [org]",255,350,484,626,"290_1921_1921_bulgarian_[org].tif"
290,24,1921,1921,"tatar [org]",255,350,484,626,"290_1921_1921_tatar_[org].tif"
290,24,1921,1921,"slovak [org]",255,350,484,626,"290_1921_1921_slovak_[org].tif"
290,24,1921,1921,"latvian, standard [org]",255,350,484,626,"290_1921_1921_latvian,_standard_[org].tif"
290,25,1922,1945,"german [l5]",255,350,484,635,"290_1922_1945_german_[l5].tif"
290,25,1922,1945,"polish [org]",255,350,484,635,"290_1922_1945_polish_[org].tif"
290,25,1922,1945,"ukrainian [org]",255,350,484,635,"290_1922_1945_ukrainian_[org].tif"
290,25,1922,1945,"rusyn [org]",255,350,484,635,"290_1922_1945_rusyn_[org].tif"
290,25,1922,1945,"russian [org]",255,350,484,635,"290_1922_1945_russian_[org].tif"
290,25,1922,1945,"romanian [org]",255,350,484,635,"290_1922_1945_romanian_[org].tif"
290,25,1922,1945,"armenian [l2]",255,350,484,635,"290_1922_1945_armenian_[l2].tif"
290,25,1922,1945,"jewish",255,350,484,635,"290_1922_1945_jewish.tif"
290,25,1922,1945,"belarusan [org]",255,350,484,635,"290_1922_1945_belarusan_[org].tif"
290,25,1922,1945,"kashubian [org]",255,350,484,635,"290_1922_1945_kashubian_[org].tif"
290,25,1922,1945,"czech [org]",255,350,484,635,"290_1922_1945_czech_[org].tif"
290,25,1922,1945,"lithuanian [org]",255,350,484,635,"290_1922_1945_lithuanian_[org].tif"
290,25,1922,1945,"bulgarian [org]",255,350,484,635,"290_1922_1945_bulgarian_[org].tif"
290,25,1922,1945,"tatar [org]",255,350,484,635,"290_1922_1945_tatar_[org].tif"
290,25,1922,1945,"slovak [org]",255,350,484,635,"290_1922_1945_slovak_[org].tif"
290,25,1922,1945,"latvian, standard [org]",255,350,484,635,"290_1922_1945_latvian,_standard_[org].tif"
290,26,1946,1946,"german [l5]",266,336,464,584,"290_1946_1946_german_[l5].tif"
290,26,1946,1946,"polish [org]",266,336,464,584,"290_1946_1946_polish_[org].tif"
290,26,1946,1946,"czech [org]",266,336,464,584,"290_1946_1946_czech_[org].tif"
290,26,1946,1946,"kashubian [org]",266,336,464,584,"290_1946_1946_kashubian_[org].tif"
290,26,1946,1946,"sorbian [l4]",266,336,464,584,"290_1946_1946_sorbian_[l4].tif"
290,26,1946,1946,"jewish",266,336,464,584,"290_1946_1946_jewish.tif"
290,26,1946,1946,"russian [org]",266,336,464,584,"290_1946_1946_russian_[org].tif"
290,26,1946,1946,"ukrainian [org]",266,336,464,584,"290_1946_1946_ukrainian_[org].tif"
290,26,1946,1946,"belarusan [org]",266,336,464,584,"290_1946_1946_belarusan_[org].tif"
290,26,1946,1946,"lithuanian [org]",266,336,464,584,"290_1946_1946_lithuanian_[org].tif"
290,26,1946,1946,"rusyn [org]",266,336,464,584,"290_1946_1946_rusyn_[org].tif"
290,26,1946,1946,"bulgarian [org]",266,336,464,584,"290_1946_1946_bulgarian_[org].tif"
290,26,1946,1946,"tatar [org]",266,336,464,584,"290_1946_1946_tatar_[org].tif"
290,26,1946,1946,"slovak [org]",266,336,464,584,"290_1946_1946_slovak_[org].tif"
290,26,1947,1950,"german [l5]",266,336,464,584,"290_1947_1950_german_[l5].tif"
290,26,1947,1950,"polish [org]",266,336,464,584,"290_1947_1950_polish_[org].tif"
290,26,1947,1950,"czech [org]",266,336,464,584,"290_1947_1950_czech_[org].tif"
290,26,1947,1950,"kashubian [org]",266,336,464,584,"290_1947_1950_kashubian_[org].tif"
290,26,1947,1950,"sorbian [l4]",266,336,464,584,"290_1947_1950_sorbian_[l4].tif"
290,26,1947,1950,"jewish",266,336,464,584,"290_1947_1950_jewish.tif"
290,26,1947,1950,"russian [org]",266,336,464,584,"290_1947_1950_russian_[org].tif"
290,26,1947,1950,"ukrainian [org]",266,336,464,584,"290_1947_1950_ukrainian_[org].tif"
290,26,1947,1950,"belarusan [org]",266,336,464,584,"290_1947_1950_belarusan_[org].tif"
290,26,1947,1950,"lithuanian [org]",266,336,464,584,"290_1947_1950_lithuanian_[org].tif"
290,26,1947,1950,"rusyn [org]",266,336,464,584,"290_1947_1950_rusyn_[org].tif"
290,26,1947,1950,"bulgarian [org]",266,336,464,584,"290_1947_1950_bulgarian_[org].tif"
290,26,1947,1950,"tatar [org]",266,336,464,584,"290_1947_1950_tatar_[org].tif"
290,26,1947,1950,"slovak [org]",266,336,464,584,"290_1947_1950_slovak_[org].tif"
290,26,1951,1955,"german [l5]",266,336,464,584,"290_1951_1955_german_[l5].tif"
290,26,1951,1955,"polish [org]",266,336,464,584,"290_1951_1955_polish_[org].tif"
290,26,1951,1955,"czech [org]",266,336,464,584,"290_1951_1955_czech_[org].tif"
290,26,1951,1955,"kashubian [org]",266,336,464,584,"290_1951_1955_kashubian_[org].tif"
290,26,1951,1955,"sorbian [l4]",266,336,464,584,"290_1951_1955_sorbian_[l4].tif"
290,26,1951,1955,"jewish",266,336,464,584,"290_1951_1955_jewish.tif"
290,26,1951,1955,"russian [org]",266,336,464,584,"290_1951_1955_russian_[org].tif"
290,26,1951,1955,"ukrainian [org]",266,336,464,584,"290_1951_1955_ukrainian_[org].tif"
290,26,1951,1955,"belarusan [org]",266,336,464,584,"290_1951_1955_belarusan_[org].tif"
290,26,1951,1955,"lithuanian [org]",266,336,464,584,"290_1951_1955_lithuanian_[org].tif"
290,26,1951,1955,"rusyn [org]",266,336,464,584,"290_1951_1955_rusyn_[org].tif"
290,26,1951,1955,"bulgarian [org]",266,336,464,584,"290_1951_1955_bulgarian_[org].tif"
290,26,1951,1955,"tatar [org]",266,336,464,584,"290_1951_1955_tatar_[org].tif"
290,26,1951,1955,"slovak [org]",266,336,464,584,"290_1951_1955_slovak_[org].tif"
290,26,1956,2020,"german [l5]",266,336,464,584,"290_1956_2020_german_[l5].tif"
290,26,1956,2020,"polish [org]",266,336,464,584,"290_1956_2020_polish_[org].tif"
290,26,1956,2020,"czech [org]",266,336,464,584,"290_1956_2020_czech_[org].tif"
290,26,1956,2020,"kashubian [org]",266,336,464,584,"290_1956_2020_kashubian_[org].tif"
290,26,1956,2020,"sorbian [l4]",266,336,464,584,"290_1956_2020_sorbian_[l4].tif"
290,26,1956,2020,"russian [org]",266,336,464,584,"290_1956_2020_russian_[org].tif"
290,26,1956,2020,"ukrainian [org]",266,336,464,584,"290_1956_2020_ukrainian_[org].tif"
290,26,1956,2020,"belarusan [org]",266,336,464,584,"290_1956_2020_belarusan_[org].tif"
290,26,1956,2020,"lithuanian [org]",266,336,464,584,"290_1956_2020_lithuanian_[org].tif"
290,26,1956,2020,"rusyn [org]",266,336,464,584,"290_1956_2020_rusyn_[org].tif"
290,26,1956,2020,"bulgarian [org]",266,336,464,584,"290_1956_2020_bulgarian_[org].tif"
290,26,1956,2020,"tatar [org]",266,336,464,584,"290_1956_2020_tatar_[org].tif"
290,26,1956,2020,"slovak [org]",266,336,464,584,"290_1956_2020_slovak_[org].tif"
291,27,1920,1938,"german [l5]",271,277,513,530,"291_1920_1938_german_[l5].tif"
291,27,1920,1938,"polish [org]",271,277,513,530,"291_1920_1938_polish_[org].tif"
291,27,1920,1938,"kashubian [org]",271,277,513,530,"291_1920_1938_kashubian_[org].tif"
300,28,1855,1908,"italian [org]",312,416,409,613,"300_1855_1908_italian_[org].tif"
300,28,1855,1908,"croatian [org]",312,416,409,613,"300_1855_1908_croatian_[org].tif"
300,28,1855,1908,"slovene [org]",312,416,409,613,"300_1855_1908_slovene_[org].tif"
300,28,1855,1908,"serbian [org]",312,416,409,613,"300_1855_1908_serbian_[org].tif"
300,28,1855,1908,"bosnian [org]",312,416,409,613,"300_1855_1908_bosnian_[org].tif"
300,28,1855,1908,"albanian [l2]",312,416,409,613,"300_1855_1908_albanian_[l2].tif"
